Left Grip, Right Grip, Time
-1,-1,0
0,0,0.3533334
0,0,0.4628136
0,0,0.4727651
0,0,0.4864959
0,0,0.5005565
0,0,0.5141277
0,0,0.5283148
0,0,0.5990223
0,0,0.6114575
0,0,0.6259456
0,0,0.6391888
0,0,0.6530576
0.75,0,0.6668304
0,0,0.6810006
0.75,0,0.694854
0,0,0.7085968
0,0,0.7227892
0,0,0.7363312
0,0,0.7500306
0,0,0.7642677
0,0,0.7781857
0.75,0,0.7919344
0,0,0.8056973
0,0,0.8196033
0,0,0.8334662
0,0,0.8473822
0,0,0.8614687
0,0,0.8753514
0,0,0.8892146
0,0,0.903064
0,0,0.9171442
0,0,0.9313228
0.75,0,0.9450756
0,0,0.9589058
0,0,0.9729996
0,0,0.9870276
0,0,1.001124
0.75,0,1.014818
0,0,1.028749
0,0,1.042769
0,0,1.056687
0,0,1.070498
0,0,1.084454
0,0,1.098145
0,0,1.112021
0,0,1.125955
0,0,1.139821
0,0,1.153749
0,0,1.167617
0.75,0,1.181562
0,0,1.195431
0,0,1.209503
0,0,1.223754
0,0,1.237082
0,0,1.250916
0,0,1.264833
0,0,1.278724
0,0,1.292596
0,0,1.306532
0,0,1.320378
0,0,1.334355
0,0,1.348176
0,0,1.36205
0,0,1.37592
0,0,1.389834
0,0,1.403683
0,0,1.417603
0.75,0,1.431514
0,0,1.445412
0,0,1.45938
0,0,1.473239
0,0,1.48735
0,0,1.501023
0.75,0,1.515048
0.75,0,1.52897
0,0,1.542948
0,0,1.556814
0,0,1.570699
0,0,1.584452
0,0,1.598419
0,0,1.612251
0,0,1.626495
0,0,1.640226
0,0,1.654073
0,0,1.667697
0,0,1.681537
0,0,1.695389
0,0,1.709539
0,0,1.723479
0,0,1.737266
0.75,0,1.75107
0.75,0,1.765234
0,0,1.779015
0,0,1.792988
0,0,1.806743
0,0,1.82087
0,0,1.834605
0,0,1.848863
0,0,1.862384
0,0,1.876492
0,0,1.890176
0,0,1.903935
0,0,1.917762
0,0,1.931638
0,0,1.945644
0.75,0,1.959659
0,0,1.973434
0,0,1.987438
0,0,2.001144
0,0,2.015058
0,0,2.02889
0,0,2.04271
0,0,2.056872
0,0,2.070528
0,0,2.201153
0,0,2.209519
0,0,2.223622
0,0,2.237388
0,0,2.251019
0,0,2.264987
0,0,2.279022
0,0,2.293249
0,0,2.306873
0,0,2.320891
0,0,2.334432
0,0,2.348504
0,0,2.362431
0,0,2.376174
0,0,2.390075
0,0,2.403979
0,0,2.418074
0,0,2.431643
0,0,2.445412
0,0,2.459515
0,0,2.473448
0,0,2.487225
0,0,2.50112
0,0,2.515138
0,0,2.528979
0,0,2.542948
0,0,2.556786
0,0,2.570617
0.75,0,2.584507
0.75,0,2.598353
0,0,2.612296
0,0,2.626277
0,0,2.640396
0.75,0,2.654115
0,0,2.667913
0,0,2.682044
0,0,2.696322
0,0,2.709705
0.75,0,2.723618
0,0,2.737328
0,0,2.751026
0,0,2.765317
0,0,2.779141
0,0,2.792837
0,0,2.806801
0,0,2.820633
0,0,2.834496
0,0,2.848418
0,0,2.862304
0,0,2.87619
0,0,2.890149
0.75,0,2.90398
0,0,2.917836
0,0,2.931799
0.75,0,2.945503
0,0,2.959772
0,0,2.973356
0,0,2.987275
0,0,3.001177
0,0,3.01504
0,0,3.028996
0,0,3.042862
0,0,3.056707
0,0,3.070704
0.75,0,3.084558
0,0,3.098356
0.75,0,3.112186
0.75,0,3.126215
0,0,3.140191
0,0,3.153964
0,0,3.168235
0,0,3.181744
0,0,3.265603
0,0,3.273695
0,0,3.287735
0,0,3.307516
0,0,3.322413
0.75,0,3.337089
0,0,3.349165
0,0,3.363448
0,0,3.378163
0,0,3.391933
0,0,3.407043
0,0,3.422049
0,0,3.433302
0,0,3.44714
0,0,3.461559
0,0,3.474515
0,0,3.488171
0.75,0,3.503598
0.75,0,3.516496
0,0,3.53101
0,0,3.547113
0,0,3.557905
0,0,3.572142
0,0,3.585264
0,0,3.599952
0,0,3.612983
0,0,3.626818
0,0,3.640613
0,0,3.653965
0,0,3.668015
0,0,3.682919
0,0,3.69566
0.75,0,3.709433
0.75,0,3.723613
0,0,3.738016
0,0,3.752539
0,0,3.76689
0,0,3.779822
0,0,3.793194
0,0,3.80717
0,0,3.821684
0,0,3.836213
0.75,0,3.853017
0.75,0,3.863321
0.75,0,3.876953
0,0,3.89314
0.75,0,3.904476
0,0,3.919508
0,0,3.931857
0,0,3.946023
0,0,3.959875
0,0,3.973603
0,0,3.988343
0,0,4.00145
0,0,4.015986
0,0,4.029891
0,0,4.043517
0,0,4.057833
0,0,4.07227
0,0,4.085889
0,0,4.130618
0,0,4.142138
0,0,4.156944
0,0,4.168228
0,0,4.182703
0,0,4.207208
0,0,4.217062
0.75,0,4.232797
0,0,4.259917
0,0,4.286465
0,0,4.316124
0,0,4.343117
0,0,4.371441
0,0,4.397587
0,0,4.425427
0,0,4.452608
0,0,4.480474
0.75,0,4.508129
0.75,0,4.53587
0,0,4.556768
0,0,4.570468
0,0,4.584234
0,0,4.598156
0,0,4.612067
0,0,4.62605
0,0,4.639792
0,0,4.653867
0,0,4.667719
0,0,4.68232
0,0,4.696561
0,0,4.710225
0,0,4.724155
0.75,0,4.738307
0,0,4.751865
0,0,4.766064
0,0,4.779973
0.75,0,4.793996
0,0,4.807526
0,0,4.821577
0,0,4.835819
0,0,4.849183
0,0,4.862931
0,0,4.877081
0,0,4.891318
0,0,4.904752
0,0,4.918757
0,0,4.932658
0,0,4.946419
0,0,4.960332
0,0,4.974123
0,0,4.988101
0,0,5.001845
0,0,5.016021
0,0,5.029867
0,0,5.043866
0.75,0,5.057778
0,0,5.071213
0.75,0,5.085122
0,0,5.09937
0,0,5.113077
0,0,5.126761
0,0,5.140728
0,0,5.154672
0,0,5.168577
0,0,5.182325
0,0,5.196466
0,0,5.21032
0,0,5.2246
0,0,5.238206
0,0,5.252205
0,0,5.265909
0,0,5.280126
0,0,5.293836
0,0,5.307774
0,0,5.321678
0,0,5.335545
0,0,5.349571
0,0,5.363283
0,0,5.377014
0,0,5.39106
0,0,5.405013
0.75,0,5.418712
0.75,0,5.432952
0,0,5.446783
0,0,5.460558
0,0,5.474459
0,0,5.488111
0.75,0,5.502057
0,0,5.515983
0,0,5.529371
0.75,0,5.543065
0,0,5.556754
0.75,0,5.570864
0,0,5.584578
0,0,5.598512
0,0,5.612428
0,0,5.626533
0,0,5.640164
0,0,5.653983
0,0,5.668235
0,0,5.68184
0,0,5.695546
0,0,5.709514
0,0,5.723522
0,0,5.737285
0,0,5.751253
0,0,5.765001
0,0,5.778934
0,0,5.792678
0,0,5.80651
0,0,5.820587
0,0,5.83428
0,0,5.848376
0,0,5.862226
0,0,5.876008
0,0,5.890259
0,0,5.904213
0,0,5.917907
0,0,5.931707
0,0,5.945517
0,0,5.959448
0,0,5.973359
0,0,5.987045
0,0,6.00102
0,0,6.015059
0.75,0,6.029244
0.75,0,6.04294
0,0,6.056733
0,0,6.070732
0,0,6.084475
0,0,6.098155
0,0,6.112326
0,0,6.126299
0,0,6.140074
0,0,6.154014
0,0,6.167679
0,0,6.181663
0,0,6.195679
0.75,0,6.209328
0,0,6.223222
0,0,6.237365
0.75,0,6.251107
0.75,0,6.264981
0,0,6.27897
0,0,6.292981
0,0,6.306755
0,0,6.320649
0,0,6.334552
0,0,6.348316
0,0,6.362332
0,0,6.376054
0.75,0,6.389938
0,0,6.403972
0,0,6.417684
0,0,6.431452
0,0,6.44549
0,0,6.459309
0,0,6.473117
0,0,6.487192
0,0,6.500937
0,0,6.514956
0,0,6.528936
0,0,6.542727
0,0,6.556653
0,0,6.57043
0,0,6.58496
0.75,0,6.605303
0,0,6.618954
0,0,6.632665
0,0,6.64669
0,0,6.660404
0,0,6.67441
0,0,6.688254
0,0,6.702169
0,0,6.716079
0,0,6.73016
0,0,6.743978
0,0,6.757913
0,0,6.771851
0,0,6.785657
0,0,6.80048
0,0,6.81344
0,0,6.827126
0.75,0,6.841036
0,0,6.855059
0,0,6.868774
0,0,6.882666
0.75,0,6.896631
0,0,6.910437
0,0,6.924434
0,0,6.938553
0,0,6.952795
0,0,6.966176
0,0,6.980461
0,0,6.994153
0,0,7.008115
0,0,7.022041
0.75,0,7.035836
0,0,7.049617
0.75,0,7.06378
0,0,7.077481
0,0,7.09164
0,0,7.105937
0,0,7.11932
0,0,7.133065
0,0,7.147259
0.75,0,7.160991
0,0,7.174787
0,0,7.189038
0,0,7.202978
0,0,7.216899
0,0,7.230875
0,0,7.244861
0,0,7.258618
0,0,7.272651
0,0,7.286331
0,0,7.300309
0,0,7.314153
0,0,7.32796
0,0,7.341854
0.75,0,7.355807
0.75,0,7.369647
0,0,7.383552
0,0,7.397466
0,0,7.411356
0,0,7.425159
0,0,7.439211
0,0,7.45298
0,0,7.466774
0,0,7.480777
0,0,7.494764
0.75,0,7.509118
0,0,7.522687
0,0,7.536362
0,0,7.550255
0,0,7.564175
0,0,7.577997
0,0,7.591799
0,0,7.605678
0,0,7.619645
0,0,7.633649
0,0,7.647421
0,0,7.661416
0,0,7.675217
0,0,7.689282
0,0,7.70332
0,0,7.717517
0,0,7.73087
0.75,0,7.744725
0,0,7.758769
0,0,7.772722
0,0,7.786634
0.75,0,7.800343
0,0,7.814258
0,0,7.828033
0,0,7.84208
0,0,7.856274
0,0,7.870555
0,0,7.883666
0,0,7.897814
0,0,7.911319
0,0,7.925457
0,0,7.939223
0.75,0,7.953131
0.75,0,7.967209
0.75,0,7.98087
0,0,7.994798
0,0,8.008654
0,0,8.022517
