Left Grip, Right Grip, Time
-1,-1,0
0,-1,0.3533334
0,-1,0.4180267
0,-1,0.4260554
0,-1,0.4391069
0,-1,0.4528483
0,-1,0.4668701
0,-1,0.4806171
0,-1,0.4960978
0,-1,0.5083504
0,-1,0.5223352
0,-1,0.5360931
0,-1,0.549961
0,-1,0.5638015
0,-1,0.5779043
0,-1,0.5917068
0,-1,0.6056687
0,-1,0.6196163
0,-1,0.6336551
0,-1,0.6492063
0,-1,0.6609846
0,-1,0.6750681
0,-1,0.6890066
0,-1,0.7029583
0,-1,0.7166777
0,-1,0.7305073
0,-1,0.7445261
0,-1,0.7584746
0,-1,0.772453
0,-1,0.7861564
0,-1,0.8019977
0,-1,0.814097
0,-1,0.8282812
0,-1,0.8423935
0,-1,0.8562821
0,-1,0.8700247
0,-1,0.884056
0,-1,0.8977528
0,-1,0.9118229
0,-1,0.9255552
0,-1,0.9394844
0,-1,0.9547169
0,-1,0.9674987
0,-1,0.9811369
0,-1,0.9951078
0,-1,1.008865
0,-1,1.023165
0,-1,1.036964
0,-1,1.050817
0,-1,1.064819
0,-1,1.078519
0,-1,1.092725
0,-1,1.108409
0,-1,1.120221
0,-1,1.134276
0,-1,1.148013
0,-1,1.161954
0,-1,1.175961
0,-1,1.189776
0,-1,1.20365
0,-1,1.217458
0,-1,1.231329
0,-1,1.245356
0,-1,1.260749
0,-1,1.273138
0,-1,1.286964
0,-1,1.30075
0,-1,1.314724
0,-1,1.328483
0,-1,1.342383
0,-1,1.356427
0,-1,1.370235
0,-1,1.384163
0,-1,1.39818
0,-1,1.413928
0,-1,1.426036
0,-1,1.43962
0,-1,1.453569
0,-1,1.46755
0,-1,1.481276
0,-1,1.498998
0,-1,1.509208
0,-1,1.522142
0,-1,1.53635
0,-1,1.550309
0,-1,1.566096
0,-1,1.577882
0,-1,1.591775
0,-1,1.605717
0,-1,1.619344
0,-1,1.633424
0,-1,1.647081
0,-1,1.660981
0,-1,1.67508
0.11,0,1.689109
0.75,0,1.702938
0,0,1.718627
0.75,0,1.730667
0,0,1.744556
0.75,0,1.758677
0,0,1.772701
0.75,0,1.786862
0,0,1.801542
0.75,0,1.814728
0.75,0,1.828543
0,0,1.842496
0.75,0,1.856589
0.75,0,1.872559
0,0,1.88388
0.75,0,1.897783
0,0,1.911663
0.75,0,1.925582
0.75,0,1.939566
0,0,1.95382
0.75,0,1.967349
0,0,1.981151
0.75,0,1.995265
0,0,2.00887
0.75,0,2.025084
0,0,2.036822
0.75,0,2.050579
0,0,2.064675
0.75,0,2.078494
0.75,0,2.092228
0.75,0,2.106142
0,0,2.119934
0.75,0,2.134082
0,0,2.147722
0,0,2.161664
0.75,0,2.177711
0.75,0,2.189576
0,0,2.203645
0.75,0,2.21718
0.75,0,2.231285
0,0,2.245077
0.75,0,2.259058
0.75,0,2.272844
0.75,0,2.286749
0,0,2.300823
0.75,0,2.31469
0.75,0,2.330212
0.75,0,2.34227
0.75,0,2.356269
0,0,2.370208
0.75,0,2.384102
0,0,2.397927
0,0,2.412166
0,0,2.425988
0.75,0,2.440028
0,0,2.453799
0.75,0,2.467704
0,0,2.483618
0.75,0,2.495193
0.75,0,2.515522
0.75,0,2.529157
0.75,0,2.543116
0,0,2.557038
0,0,2.570753
0.75,0,2.584775
0.75,0,2.598773
0,0,2.612586
0.75,0,2.632796
0.75,0,2.64043
0,0,2.654305
0,0,2.668368
0,0,2.682113
0.75,0,2.695832
0,0,2.709659
0,0,2.723864
0,0,2.737823
0,0,2.751289
0,0,2.765439
0.75,0,2.785603
0.75,0,2.793615
0,0,2.807268
0.75,0,2.820942
0.75,0,2.834843
0.75,0,2.84905
0,0,2.862989
0.75,0,2.877106
0.75,0,2.891092
0.75,0,2.905043
0,0,2.918881
0.75,0,2.938787
0,0,2.946639
0.75,0,2.960586
0,0,2.974563
0.75,0,2.988322
0.75,0,3.002526
0,0,3.016258
0,0,3.030013
0,0,3.044184
0.75,0,3.057898
0.75,0,3.07183
0,0,3.095658
0,0,3.100971
0.75,0,3.112407
0,0,3.12642
0.75,0,3.140126
0.75,0,3.154217
0.75,0,3.168222
0.75,0,3.181841
0,0,3.19589
0,0,3.20995
0,0,3.223902
0.75,0,3.244147
0.75,0,3.251304
0.75,0,3.265506
0.75,0,3.27934
0,0,3.293195
0.75,0,3.307002
0,0,3.320846
0.75,0,3.334918
0,0,3.348678
0.75,0,3.362575
0,0,3.376548
0,0,3.396734
0,0,3.40421
0.75,0,3.418217
0,0,3.432679
0.75,0,3.446409
0,0,3.460542
0,0,3.474235
0,0,3.488131
0,0,3.501994
0.75,0,3.515538
0.75,0,3.529258
0.75,0,3.550159
0.75,0,3.557348
0.75,0,3.571014
0,0,3.585123
0.75,0,3.5987
0,0,3.612714
0,0,3.626663
0.75,0,3.640237
0,0,3.654223
0,0,3.668216
0,0,3.681947
0,0,3.702535
0,0,3.709682
0.75,0,3.723954
0,0,3.737638
0,0,3.751524
0,0,3.765543
0,0,3.779171
0,0,3.800539
0,0,3.814281
0,0,3.828001
0,0,3.841833
0,0,3.857582
0,0,3.869534
0.75,0,3.883607
0.75,0,3.897451
0,0,3.911177
0,0,3.925332
0.75,0,3.939095
0,0,3.953028
0,0,3.966867
0,0,3.980482
0.75,0,3.994713
0.75,0,4.010503
0.75,0,4.022466
0,0,4.036266
0,0,4.050027
0,0,4.064265
0,0,4.078027
0,0,4.091953
0,0,4.105794
0,0,4.119887
0.75,0,4.134083
0.75,0,4.147923
0,0,4.163986
0.75,0,4.175707
0,0,4.189476
0,0,4.203688
0,0,4.217478
0.75,0,4.231474
0.75,0,4.245099
0,0,4.258955
0.75,0,4.272988
0,0,4.286742
0.75,0,4.300732
0.75,0,4.316123
0,0,4.328454
0,0,4.342343
0,0,4.356374
0,0,4.370374
0,0,4.384109
0,0,4.398128
0,0,4.411974
0.75,0,4.426096
0.75,0,4.439775
0.75,0,4.453877
0,0,4.469506
0.75,0,4.481221
0,0,4.495268
0,0,4.51062
0,0,4.522276
0.75,0,4.536497
0.75,0,4.550016
0,0,4.564042
0.75,0,4.577988
0.75,0,4.591827
0.75,0,4.605821
0,0,4.621614
0,0,4.633818
0,0,4.647151
1.61,0,4.661183
0.75,0,4.67521
0,0,4.689225
0.75,0,4.703111
0,0,4.716978
0,0,4.730808
0,0,4.745151
0,0,4.758988
0,0,4.775444
0,0,4.786789
0,0,4.800108
0,0,4.814373
0.75,0,4.8279
0,0,4.841871
0.75,0,4.855791
0.75,0,4.869786
0,0,4.8837
0.75,0,4.897573
0.75,0,4.911522
0,0,4.927906
0,0,4.939179
0,0,4.952997
0.75,0,4.966983
0.75,0,4.980738
0,0,4.994895
0.75,0,5.008571
0.75,0,5.022685
0.75,0,5.036391
0,0,5.050209
0,0,5.064377
0,0,5.080753
0,0,5.091967
0,0,5.105718
0,0,5.119452
0,0,5.133556
0,0,5.147614
0,0,5.161148
0,0,5.175129
0.75,0,5.188789
0,0,5.202975
0,0,5.216848
0,0,5.233035
0.75,0,5.244676
0.75,0,5.258562
0.75,0,5.272375
0.75,0,5.286428
0,0,5.300169
0.75,0,5.341
0.75,0,5.348747
0.75,0,5.362704
0,0,5.383642
0,0,5.390046
0,0,5.404294
0,0,5.418412
0.75,0,5.432099
0,0,5.44625
0.75,0,5.459941
0,0,5.473862
0,0,5.487701
0,0,5.501329
0.75,0,5.515394
0,0,5.535792
0,0,5.54329
0,0,5.55718
0,0,5.570715
0.75,0,5.584903
0.75,0,5.598915
0,0,5.612608
0,0,5.626874
0.75,0,5.640446
0,0,5.654475
0.75,0,5.668123
0,0,5.68832
0,0,5.696157
0,0,5.70979
0,0,5.723889
0,0,5.737652
0,0,5.751741
0.75,0,5.765865
0,0,5.779948
0.75,0,5.794182
0,0,5.80763
0,0,5.821452
0,0,5.84122
0,0,5.849111
0,0,5.863252
0,0,5.876998
0,0,5.890754
0,0,5.904813
0,0,5.918757
0,0,5.933073
0,0,5.946898
0.75,0,5.960476
0,0,5.974533
0,0,5.994766
0,0,6.002368
0.75,0,6.016173
0.75,0,6.03022
0.75,0,6.044092
0.75,0,6.057951
0,0,6.071714
0.75,0,6.085543
0.75,0,6.099535
0,0,6.113649
0,0,6.127584
0,0,6.148386
0.75,0,6.155251
0.75,0,6.16821
0.75,0,6.181818
0,0,6.196054
0,0,6.209879
0.75,0,6.223824
0,0,6.237545
0,0,6.251367
0,0,6.265598
0.75,0,6.27934
0,0,6.299469
0.75,0,6.306985
0,0,6.320879
0,0,6.334833
0,0,6.348592
0.75,0,6.362562
0.75,0,6.376563
0.75,0,6.390565
0,0,6.404884
0,0,6.419413
0,0,6.432918
0.75,0,6.453045
0.75,0,6.460499
0.75,0,6.474378
0,0,6.488038
0.75,0,6.501449
0,0,6.515692
0.75,0,6.529417
0.75,0,6.543293
0.75,0,6.557196
0.75,0,6.570867
0,0,6.584908
0,0,6.605267
0,0,6.612901
0.75,0,6.626509
0.75,0,6.640478
0,0,6.654244
0,0,6.668244
0,0,6.682074
0,0,6.695898
0.75,0,6.709946
0,0,6.723838
0.75,0,6.737962
0.75,0,6.758543
0.75,0,6.766089
0,0,6.779762
0,0,6.793841
0,0,6.807652
0.75,0,6.82139
0.75,0,6.835248
0.75,0,6.849145
0,0,6.862948
0.75,0,6.877028
0,0,6.890667
0.75,0,6.910709
0.75,0,6.918559
0.75,0,6.932498
0.75,0,6.946482
0,0,6.960187
0,0,6.974577
0,0,6.987838
0.75,0,7.002025
0.75,0,7.016045
0.75,0,7.03004
0.75,0,7.043943
0.75,0,7.064389
0.75,0,7.071699
0.75,0,7.085599
0.75,0,7.09957
0.75,0,7.113401
0,0,7.127079
0.75,0,7.14085
0,0,7.155049
0,0,7.168686
0.75,0,7.182762
0,0,7.196808
0,0,7.217394
0,0,7.224229
0.75,0,7.237697
0.75,0,7.251488
0,0,7.265484
0,0,7.279431
0,0,7.293172
0.75,0,7.307149
0.75,0,7.321167
0,0,7.334979
0,0,7.34881
0.75,0,7.369336
0.75,0,7.376418
0.75,0,7.390463
0.75,0,7.404387
0,0,7.418368
0.75,0,7.432312
0.75,0,7.446274
0.75,0,7.460353
0,0,7.474319
0,0,7.488157
0,0,7.501845
0,0,7.524826
0,0,7.529564
0,0,7.543165
0,0,7.556947
0,0,7.570892
0.75,0,7.584932
0.75,0,7.598963
0.75,0,7.612487
0,0,7.626442
0,0,7.640548
0,0,7.654213
0,0,7.674597
0,0,7.682111
0.75,0,7.696062
0.75,0,7.709699
0,0,7.723967
0,0,7.737647
0,0,7.751305
0.75,0,7.765406
0,0,7.77924
0,0,7.800198
0,0,7.81425
0.75,0,7.829563
0.75,0,7.842016
0,0,7.855652
0.75,0,7.870282
0,0,7.883492
0,0,7.897392
0.75,0,7.911185
0,0,7.925323
0.75,0,7.939025
0.75,0,7.953066
0.75,0,7.967547
0,0,7.98635
0,0,7.994514
0.75,0,8.008305
0,0,8.022243
0.75,0,8.036382
0,0,8.050149
0.75,0,8.064144
0,0,8.078041
0,0,8.091924
0,0,8.105679
0,0,8.119485
0,0,8.135528
0.75,0,8.147387
0.75,0,8.161198
0,0,8.175306
0.75,0,8.188869
0.75,0,8.203184
0,0,8.216561
0.75,0,8.230508
0,0,8.24447
0,0,8.258489
0.75,0,8.272525
0,0,8.288363
0.75,0,8.300239
0.75,0,8.314481
0,0,8.328549
0.75,0,8.342287
0,0,8.356285
