Left Grip, Right Grip, Time
-1,-1,0
0.75,0,0.3533334
0,0,0.4581743
0.75,0,0.4717363
0.75,0,0.4894114
0,0,0.5026022
0.75,0,0.5161864
0,0,0.530075
0.75,0,0.5440257
0.75,0,0.5578755
0,0,0.5719395
0,0,0.5859002
0.75,0,0.5997536
0.75,0,0.6134567
0.75,0,0.6274729
0.75,0,0.6412355
0,0,0.6552477
0,0,0.6689202
0.75,0,0.6830499
0,0,0.6967589
0.75,0,0.7110488
0.75,0,0.7247825
0.75,0,0.7386469
0.75,0,0.7523773
0.75,0,0.7664669
0.75,0,0.7802594
0,0,0.7939585
0.75,0,0.8080925
0,0,0.8217409
0,0,0.83565
0,0,0.8495584
0.75,0,0.8638259
0,0,0.8783033
0,0,0.8921244
0.75,0,0.9059858
0.75,0,0.9198849
0,0,0.9337649
0,0,0.9478145
0,0,0.9615942
0.75,0,0.9754263
0.75,0,0.989248
0.75,0,1.003531
0.75,0,1.017136
0,0,1.031098
0,0,1.044955
0,0,1.058704
0,0,1.072649
0.75,0,1.08652
0,0,1.100499
0,0,1.114382
0.75,0,1.128315
0.75,0,1.142217
0,0,1.156152
0,0,1.169814
0.75,0,1.183731
0.75,0,1.197592
0,0,1.211453
0.75,0,1.225481
0,0,1.239725
0,0,1.253221
0,0,1.267113
0,0,1.281141
0,0,1.295017
0,0,1.308835
0.75,0,1.322864
0,0,1.336911
0.75,0,1.350486
0,0,1.364389
0,0,1.378386
0.75,0,1.39259
0,0,1.406145
0.75,0,1.419837
0,0,1.433896
0.75,0,1.447535
0.75,0,1.461671
0.75,0,1.474854
0,0,1.488724
0,0,1.502855
0,0,1.516633
0.75,0,1.530585
0,0,1.544366
0,0,1.558266
0,0,1.572049
0,0,1.586184
0.75,0,1.600454
0.75,0,1.614207
0,0,1.627884
0.75,0,1.641768
0.75,0,1.655609
0,0,1.669621
0,0,1.683619
0.75,0,1.697644
0,0,1.711435
0,0,1.725451
0.75,0,1.739297
0.75,0,1.753615
0.75,0,1.767299
0.75,0,1.78121
0,0,1.794898
0,0,1.80879
0,0,1.822669
0,0,1.836555
0,0,1.850686
0,0,1.864504
0,0,1.878463
0.75,0,1.892159
0.75,0,1.906565
0.75,0,1.920222
0.75,0,1.934098
0,0,1.947921
0,0,1.962003
0,0,1.97567
0.75,0,1.989659
0,0,2.00373
0.75,0,2.017651
0,0,2.031579
0.75,0,2.045077
0,0,2.059047
0.75,0,2.07293
0.75,0,2.08664
0,0,2.100557
0,0,2.114669
0.75,0,2.128291
0.75,0,2.142168
0.75,0,2.156033
0.75,0,2.170086
0.75,0,2.183814
0,0,2.19803
0.75,0,2.211646
0,0,2.225395
0,0,2.23942
0,0,2.253214
0.75,0,2.267213
0.75,0,2.281618
0.75,0,2.295306
0,0,2.308843
0,0,2.322626
0,0,2.336498
0,0,2.350402
0.75,0,2.36426
0.75,0,2.378316
0,0,2.392395
0,0,2.406125
0,0,2.419871
0.75,0,2.43376
0,0,2.447627
0,0,2.461609
0.75,0,2.475421
0.75,0,2.489334
0.75,0,2.503314
0,0,2.517273
0.75,0,2.53092
0,0,2.544767
0.75,0,2.558869
0.75,0,2.572836
0,0,2.586523
0.75,0,2.600568
0.75,0,2.614309
0,0,2.628153
0.75,0,2.641987
0.75,0,2.655903
0.75,0,2.66975
0,0,2.683941
0.75,0,2.697683
0.75,0,2.711468
0.75,0,2.725428
0,0,2.739313
0.75,0,2.753226
0.75,0,2.767026
0.75,0,2.782125
0.75,0,2.795163
0.75,0,2.808849
0,0,2.82269
0.75,0,2.836617
0,0,2.850418
0.75,0,2.864415
0.75,0,2.878252
0,0,2.892094
0,0,2.905971
0.75,0,2.919944
0,0,2.93374
0,0,2.947561
0.75,0,2.961581
0.75,0,2.975431
0,0,2.989455
0.75,0,3.003247
0,0,3.01711
0,0,3.031026
0,0,3.044859
0,0,3.05873
0,0,3.072742
0,0,3.087698
0.75,0,3.100453
0,0,3.114404
0.75,0,3.128216
0,0,3.142227
0.75,0,3.156019
0.75,0,3.169836
0,0,3.183725
0.75,0,3.197579
0,0,3.211513
0.75,0,3.225441
0.75,0,3.240474
0,0,3.253379
0,0,3.267127
0.75,0,3.281437
0.75,0,3.294817
0,0,3.308705
0.75,0,3.322839
0,0,3.336434
0.75,0,3.350416
0.75,0,3.364354
0,0,3.378255
0,0,3.392476
0,0,3.406175
0.75,0,3.419829
0,0,3.433738
0,0,3.447616
0,0,3.46151
0,0,3.475416
0,0,3.489258
0.75,0,3.503208
0.75,0,3.517133
0.75,0,3.531005
0,0,3.545001
0.75,0,3.55873
0,0,3.572597
0,0,3.586865
0,0,3.600402
0,0,3.614243
0.75,0,3.628316
0.75,0,3.642123
0,0,3.656071
0.75,0,3.669928
0,0,3.683756
0.75,0,3.697597
0.75,0,3.711396
0.75,0,3.725502
0,0,3.739168
0.75,0,3.753201
0,0,3.773186
0.75,0,3.787055
0.75,0,3.801095
0.75,0,3.815034
0,0,3.828686
0,0,3.842664
0,0,3.856559
0.75,0,3.870447
0.75,0,3.884259
0,0,3.898249
0.75,0,3.911977
0.75,0,3.925953
0,0,3.939809
0,0,3.953676
0.75,0,3.967763
0,0,3.981514
0,0,3.995505
0,0,4.00935
0.75,0,4.023232
0.75,0,4.037059
0,0,4.051228
0,0,4.065362
0.75,0,4.079264
0,0,4.093623
0.75,0,4.107294
0.75,0,4.121241
0.75,0,4.135155
0,0,4.148942
0,0,4.16291
0,0,4.176742
0,0,4.190699
0.75,0,4.204542
0,0,4.218408
0.75,0,4.232337
0.75,0,4.246325
0,0,4.260193
0,0,4.274141
0.75,0,4.287973
0.75,0,4.301863
0,0,4.315783
0,0,4.329625
0,0,4.343489
0,0,4.357531
0,0,4.371394
0,0,4.38516
0,0,4.399341
0,0,4.413109
0,0,4.430238
0.75,0,4.440694
0.75,0,4.454843
