Left Grip, Right Grip, Time
-1,-1,0
0,0,0.3533334
0,0,0.7179918
0,0,0.7298508
0,0,0.7441024
0,0,0.757484
0,0,0.7713695
0,0,0.7853388
0,0,0.799096
0,0,0.8130158
0,0,0.8267971
0,0,0.8407215
0,0,0.8546243
0,0,0.8686028
0,0,0.882511
0,0,0.8961422
0,0,0.9101129
0.75,0,0.9239992
0.75,0,0.9381167
0,0,0.9521948
0,0,0.9659814
0,0,0.9795368
0,0,0.9935893
0,0,1.007307
0,0,1.021302
0,0,1.035183
0,0,1.049454
0,0,1.063118
0,0,1.07686
0,0,1.090714
0.75,0,1.104479
0,0,1.118459
0,0,1.132459
0.75,0,1.14627
0,0,1.160974
0,0,1.17498
0,0,1.188803
0.75,0,1.202889
0,0,1.217011
0,0,1.230458
0.75,0,1.244387
0,0,1.258367
0,0,1.272141
0,0,1.285993
0,0,1.299852
0,0,1.313935
0.75,0,1.327806
0.75,0,1.341797
0,0,1.355573
0,0,1.369425
0,0,1.383229
0,0,1.397258
0,0,1.411037
0,0,1.424895
0,0,1.438932
0,0,1.4528
0,0,1.466653
0,0,1.480582
0,0,1.494348
0,0,1.508426
0.75,0,1.522232
0,0,1.536191
0,0,1.549883
0.75,0,1.563875
0.75,0,1.577631
0,0,1.591733
0,0,1.605493
0,0,1.619642
0,0,1.633351
0,0,1.647113
0,0,1.660964
0,0,1.674795
0,0,1.688996
0,0,1.702919
0,0,1.716588
0,0,1.730737
0,0,1.744628
0.75,0,1.758215
0,0,1.772471
0,0,1.786107
0,0,1.799928
0,0,1.813755
0.75,0,1.827723
0,0,1.84156
0,0,1.855429
0,0,1.869386
0,0,1.883218
0,0,1.897082
0,0,1.91113
0.75,0,1.924947
0,0,1.939025
0,0,1.952634
0,0,1.966573
0,0,1.980565
0,0,1.994449
0,0,2.008274
0,0,2.022148
0,0,2.03627
0,0,2.049827
0.75,0,2.064014
0,0,2.077663
0.75,0,2.091642
0,0,2.105599
0,0,2.119381
0,0,2.133276
0,0,2.147171
0.75,0,2.161104
0,0,2.174949
0,0,2.188766
0,0,2.202785
0.75,0,2.216542
0,0,2.23065
0.75,0,2.244388
0,0,2.258203
0,0,2.272225
0,0,2.28617
0,0,2.300105
0,0,2.313889
0,0,2.327849
0,0,2.341505
0,0,2.355421
0,0,2.36946
0,0,2.383363
0,0,2.397227
0.75,0,2.411078
0.75,0,2.424818
0,0,2.439052
0,0,2.452661
0,0,2.466501
0,0,2.480411
0,0,2.494342
0,0,2.508219
0,0,2.522296
0,0,2.53598
0,0,2.549957
0,0,2.563845
0,0,2.577598
0,0,2.591568
0,0,2.605628
0.75,0,2.619457
0,0,2.633128
0,0,2.647278
0,0,2.661001
0,0,2.674879
0.75,0,2.688822
0,0,2.702965
0,0,2.716541
0.75,0,2.7305
0.75,0,2.744648
0,0,2.758356
0,0,2.772101
0,0,2.786008
0,0,2.800064
0.75,0,2.813824
0,0,2.827728
0.75,0,2.841833
0,0,2.855504
0.75,0,2.869258
0.75,0,2.883244
0.75,0,2.897062
0.75,0,2.91091
0,0,2.92498
0,0,2.938905
0,0,2.952579
0,0,2.966693
0,0,2.980376
0.75,0,2.994421
0,0,3.008302
0,0,3.022086
0,0,3.035971
0.75,0,3.050183
0,0,3.063937
0,0,3.077745
0,0,3.091558
0,0,3.105659
0,0,3.119332
0,0,3.133199
0.75,0,3.147011
0.75,0,3.161031
0.75,0,3.174829
0,0,3.188718
0,0,3.202652
0,0,3.216631
0,0,3.230574
0,0,3.244411
0,0,3.258138
0.75,0,3.272094
0,0,3.285918
0,0,3.299845
0.75,0,3.313895
0.75,0,3.33535
0.75,0,3.342241
0,0,3.355115
0,0,3.36903
0,0,3.382503
0.75,0,3.396308
0,0,3.41022
0,0,3.424232
0,0,3.438099
0,0,3.452204
0,0,3.465874
0,0,3.479792
0,0,3.493909
0,0,3.507486
0,0,3.521749
0,0,3.53567
0,0,3.549832
0,0,3.563555
0.75,0,3.577174
0,0,3.591042
0.75,0,3.604918
0,0,3.61873
0.75,0,3.632661
0.75,0,3.646739
0,0,3.660661
0,0,3.674349
0,0,3.689365
0.75,0,3.702405
0,0,3.715931
0.75,0,3.73031
0.75,0,3.743607
0,0,3.757422
0,0,3.771633
0.75,0,3.785256
0,0,3.799263
0,0,3.813111
0,0,3.827253
0.75,0,3.840833
0,0,3.855649
0,0,3.869208
0.75,0,3.883515
0,0,3.897602
0,0,3.91129
0,0,3.925362
0.75,0,3.939354
0.75,0,3.952807
0,0,3.969181
0,0,3.980831
0,0,3.994318
0,0,4.008537
0.75,0,4.022285
0,0,4.036496
0,0,4.049892
0,0,4.064337
0,0,4.077736
0,0,4.091761
0,0,4.105787
0,0,4.119484
0.75,0,4.13342
0.75,0,4.147483
0,0,4.161455
0,0,4.175343
0.75,0,4.188997
0,0,4.203116
0,0,4.216695
0.75,0,4.230672
0,0,4.244651
0.75,0,4.258387
0.75,0,4.272532
0,0,4.286242
0,0,4.300347
0,0,4.314051
0,0,4.327936
0,0,4.341826
0,0,4.355584
0,0,4.369604
0,0,4.383608
0.75,0,4.397097
0.75,0,4.41092
0,0,4.424998
0,0,4.438891
0.75,0,4.452697
0,0,4.466637
0.75,0,4.480513
0,0,4.494486
0.75,0,4.508843
0.75,0,4.522069
0,0,4.536314
0,0,4.550142
0,0,4.56406
0,0,4.583858
0,0,4.922435
0,0,4.931464
0,0,4.945828
0,0,4.95915
0,0,4.975412
0.75,0,4.987132
0,0,5.000811
0,0,5.014746
0.75,0,5.028634
0,0,5.042461
0,0,5.056643
0.75,0,5.070361
0,0,5.084063
0,0,5.098118
0,0,5.11198
0,0,5.126206
0,0,5.14016
0,0,5.153847
0,0,5.167815
0,0,5.181501
0.75,0,5.195419
0,0,5.209794
0.75,0,5.223817
0,0,5.565016
0,0,5.573311
0.75,0,5.587297
0,0,5.601194
0,0,5.615378
0,0,5.628913
0.75,0,5.643008
0,0,5.656883
0,0,5.670922
0.75,0,5.684653
0,0,5.698527
0,0,5.712164
0,0,5.726305
0.75,0,5.740175
0,0,5.754035
0,0,5.767794
0,0,5.781867
0,0,5.79574
0,0,5.809402
0,0,5.823419
0,0,5.837234
0,0,5.851028
0,0,5.864969
0,0,5.878756
0,0,5.892685
0,0,5.906644
0.75,0,5.920484
0,0,5.934525
0,0,5.948304
0,0,5.962286
0,0,5.976031
0,0,5.989941
0,0,6.003794
0,0,6.017857
0,0,6.031587
0,0,6.04547
0,0,6.059394
0,0,6.072794
0,0,6.086691
0.75,0,6.101161
0,0,6.11444
0,0,6.128281
0,0,6.14235
0,0,6.156155
0,0,6.170345
0,0,6.1839
0,0,6.197989
0,0,6.211672
0,0,6.225574
0,0,6.239437
0,0,6.253339
0,0,6.26726
0,0,6.28214
0.75,0,6.623496
0,0,6.637352
0,0,6.648203
0,0,6.662171
0,0,6.675932
0,0,6.689954
0,0,6.703731
0,0,6.717807
0,0,6.731497
0,0,6.745459
0.75,0,6.75926
0,0,6.77358
0,0,6.787359
0,0,6.801432
0,0,6.814893
0.75,0,6.828741
0,0,6.842721
0,0,6.856645
0,0,6.870375
0.75,0,6.884286
0.75,0,6.898179
0,0,6.911892
0,0,6.926377
0,0,6.940336
0,0,6.953992
0,0,6.967809
0,0,6.982126
0,0,6.996546
0,0,7.010481
0,0,7.02426
0,0,7.038075
0,0,7.052195
0,0,7.065884
0,0,7.07963
0.75,0,7.093779
0,0,7.107631
0.75,0,7.121344
0.75,0,7.135195
0,0,7.149486
0,0,7.163499
0,0,7.177452
0.75,0,7.191081
0,0,7.205079
0.75,0,7.218677
0,0,7.232638
0,0,7.246715
0,0,7.260722
0,0,7.274349
0,0,7.288321
0,0,7.30225
0,0,7.31595
0,0,7.329988
0,0,7.34345
0,0,7.357675
0,0,7.371785
0,0,7.385722
0,0,7.399179
0,0,7.413083
0.75,0,7.426801
0,0,7.441074
0,0,7.454541
0,0,7.468502
0,0,7.482903
0,0,7.496458
0,0,7.510442
0,0,7.52449
0,0,7.538633
0.75,0,7.55229
0,0,7.566017
0.75,0,7.580029
0,0,7.593685
0,0,7.607423
0,0,7.621704
0,0,7.635684
0,0,7.649449
0,0,7.663147
0,0,7.677141
0,0,7.69102
0,0,7.704805
0,0,7.718965
0,0,7.732683
0,0,7.7463
0,0,7.760196
1.61,0,7.774085
0,0,7.787973
0,0,7.802084
0.75,0,7.815728
0.75,0,7.82961
0,0,7.843582
0,0,7.857363
0.75,0,7.875072
0,0,7.884395
0,0,7.898271
0,0,7.912003
