Left Grip, Right Grip, Time
-1,-1,0
0.97,-1,0.3533334
0.97,-1,0.4145564
0.97,-1,0.4234955
0.97,-1,0.4374766
0,-1,0.4516004
0,-1,0.4654741
0,-1,0.4794669
0,-1,0.5008866
0,-1,0.5148342
0,-1,0.5284153
0,-1,0.5425625
0,-1,0.5564823
0,-1,0.5705447
0,-1,0.5846108
0,-1,0.5986294
0,-1,0.6126214
0,-1,0.626654
0,-1,0.6535689
0,-1,0.6639037
0,-1,0.6756123
0,-1,0.6897572
0,-1,0.7042336
0,-1,0.718365
0,-1,0.7324454
0,-1,0.7460318
0,-1,0.760235
0,-1,0.7746482
0,-1,0.7885919
0,-1,0.809983
0,-1,0.8233137
0,-1,0.8375561
0,-1,0.851608
0,-1,0.8657928
0,-1,0.8794773
0,-1,0.9041538
0,-1,0.9177957
0,-1,0.9320158
0,-1,0.9586725
0,-1,0.966889
0,-1,0.9811106
0,-1,0.9951758
0,-1,1.008776
0,-1,1.022888
0,-1,1.036993
0,-1,1.05121
0,-1,1.065178
0,-1,1.079217
0,-1,1.093841
0,-1,1.115732
0,-1,1.128618
0,-1,1.142968
0,-1,1.156583
0,-1,1.171803
0,-1,1.186132
0,-1,1.199637
0,-1,1.213561
0,-1,1.227798
0,-1,1.241604
0,-1,1.26824
0,-1,1.276661
0,-1,1.290859
0,-1,1.304862
0,-1,1.318516
0,-1,1.332961
0,-1,1.347214
0,-1,1.368115
0,-1,1.37531
0,-1,1.389356
0,-1,1.403256
0,-1,1.424436
0,-1,1.438227
0,-1,1.452821
0,-1,1.466185
0,-1,1.480574
0,-1,1.494668
0,-1,1.508599
0,-1,1.522303
0,-1,1.536869
0,-1,1.550522
0,-1,1.577229
0,-1,1.58551
0,-1,1.599322
0,-1,1.613984
0,-1,1.627578
0,-1,1.64163
0,-1,1.656077
0,-1,1.67046
0,-1,1.683784
0,-1,1.697738
0,-1,1.712233
0,-1,1.732965
0,-1,1.74713
0,-1,1.761165
0,-1,1.775093
0,-1,1.789149
0,-1,1.803041
0,-1,1.816987
0,-1,1.831163
0,-1,1.844842
0,-1,1.858829
0,-1,1.88571
0,-1,1.894452
0,-1,1.913438
0.97,-1,1.927285
0.97,-1,1.948586
0.97,-1,1.955362
0.97,-1,1.969248
0.97,-1,1.983458
0.97,-1,1.997485
0.97,-1,2.012095
0.97,-1,2.038171
0.97,-1,2.046711
0.97,-1,2.060643
0.97,-1,2.075341
0.97,-1,2.088618
0.97,-1,2.103035
0.97,-1,2.116963
0.97,-1,2.131355
0.97,-1,2.14535
0.97,-1,2.159125
0.97,-1,2.173748
0.97,-1,2.205075
0.97,-1,2.212295
0.97,-1,2.226313
0.97,-1,2.240153
0.97,-1,2.254017
0.97,-1,2.268083
0.97,-1,2.282346
0.97,-1,2.296267
0.97,-1,2.310695
0.97,-1,2.324213
5,0,2.345364
0,0,2.359486
0.75,0,2.373443
0,0,2.387764
0.75,0,2.40167
0.75,0,2.415699
0,0,2.436667
0.75,0,2.445493
0,0,2.457802
0,0,2.47172
0.75,0,2.498635
0.75,0,2.507344
0,0,2.520898
0,0,2.53509
0,0,2.54878
0,0,2.562607
0.75,0,2.577169
0,0,2.591103
0,0,2.605293
0,0,2.618968
0.75,0,2.633512
0,0,2.654931
0.75,0,2.668305
0,0,2.682307
0,0,2.69663
0.75,0,2.711271
0,0,2.724374
0,0,2.738054
0.75,0,2.752749
0,0,2.766572
0,0,2.781786
0.75,0,2.807087
0.75,0,2.815695
0,0,2.836462
0,0,2.850782
0.75,0,2.864558
0,0,2.889606
0,0,2.909603
0,0,2.923774
0.75,0,2.937979
0,0,2.964484
0.75,0,2.973489
0,0,2.98655
0.75,0,3.000838
0.75,0,3.015022
0.75,0,3.028746
0.75,0,3.042735
0.75,0,3.057129
0,0,3.078547
0.75,0,3.09908
0,0,3.120613
0.75,0,3.134359
