Left Grip, Right Grip, Time
-1,-1,0
0,0,0.3533334
0,0,0.423332
0,0,0.4308296
0,0,0.4453372
0,0,0.458827
0.75,0,0.4727103
0,0,0.4864425
0,0,0.5006198
0,0,0.5144491
0,0,0.5284429
0,0,0.5419143
0,0,0.5560247
0,0,0.5704483
0,0,0.5846279
0,0,0.597708
0,0,0.6122909
0,0,0.6263092
0.75,0,0.6397364
0,0,0.6536748
0.75,0,0.6674238
0,0,0.6813083
0,0,0.6950346
0,0,0.7090867
0,0,0.723168
0,0,0.7369558
0,0,0.7502179
0,0,0.7644892
0,0,0.7781907
0,0,0.7921833
0,0,0.8066304
0,0,0.8207017
0,0,0.8347751
0,0,0.8487595
0,0,0.8623565
0,0,0.8763362
0,0,0.8903481
0,0,0.9043012
0,0,0.918103
0,0,0.9319884
0,0,0.9458541
0,0,0.9600871
0.75,0,0.9735157
0.75,0,0.9874755
0,0,1.001442
0,0,1.015223
0,0,1.029091
0,0,1.043024
0,0,1.056943
0,0,1.070525
0,0,1.084768
0,0,1.098732
0,0,1.112412
0,0,1.126289
0,0,1.140672
0.75,0,1.154248
0,0,1.16825
0,0,1.181858
0.75,0,1.196202
0.75,0,1.209154
0,0,1.222887
0,0,1.236837
0,0,1.250703
0,0,1.264739
0.75,0,1.278406
0.75,0,1.292377
0,0,1.311727
0,0,1.650839
0,0,1.665145
0,0,1.678575
0,0,1.692387
0,0,1.706296
0,0,1.720139
0,0,1.734232
0,0,1.748379
0.75,0,1.762778
0.75,0,1.775848
0,0,1.79055
0,0,1.803807
0.75,0,1.817778
0,0,1.831575
0.75,0,1.845673
0,0,1.85952
0.75,0,1.87354
0.75,0,1.887219
0,0,1.901129
0,0,1.914965
0,0,1.929329
0,0,1.942991
0,0,1.956877
0,0,1.970977
0,0,1.984239
0.75,0,1.998355
0.75,0,2.01224
0.75,0,2.026232
0,0,2.039727
0,0,2.053946
0,0,2.067868
0,0,2.081575
0,0,2.095471
0.75,0,2.109426
0,0,2.123157
0,0,2.136979
0,0,2.150809
0,0,2.16485
0,0,2.179005
0,0,2.193059
0,0,2.206562
0,0,2.220605
0,0,2.234598
0,0,2.247974
0,0,2.262455
0,0,2.276204
0,0,2.29006
0,0,2.303744
0,0,2.318389
0,0,2.331632
0,0,2.345699
0,0,2.359663
0.75,0,2.373001
0,0,2.386899
0,0,2.400864
0,0,2.414693
0,0,2.428913
0.75,0,2.44291
0,0,2.456548
0,0,2.470549
0,0,2.484479
0,0,2.498049
0,0,2.511858
0,0,2.525842
0.75,0,2.539768
0,0,2.553617
0,0,2.567529
0,0,2.581676
0,0,2.595188
0,0,2.609108
0,0,2.62308
0,0,2.636923
0,0,2.650739
0,0,2.664775
0,0,2.678595
0,0,2.69253
0,0,2.706557
0,0,2.720353
0,0,2.734176
0,0,2.748041
0,0,2.76198
0,0,2.775805
0.75,0,2.789718
0,0,2.803578
0.75,0,2.817477
0,0,2.831467
0,0,2.845398
0,0,2.859118
0,0,2.873041
0,0,2.886966
0,0,2.901178
0,0,2.914892
0.75,0,2.928964
0,0,2.942912
0,0,2.956942
0,0,2.971098
0,0,2.984374
0,0,2.998357
0.75,0,3.012285
0,0,3.026112
0,0,3.039663
0,0,3.053987
0,0,3.067853
0,0,3.081664
0,0,3.095367
0.75,0,3.109255
0.75,0,3.123403
0,0,3.13683
0,0,3.150824
0,0,3.164788
0.75,0,3.178495
0,0,3.192406
0.75,0,3.206336
0.75,0,3.220418
0,0,3.234128
0,0,3.248201
0,0,3.261975
0,0,3.275919
0,0,3.290015
0,0,3.303675
0,0,3.317739
0,0,3.331725
0,0,3.345597
0,0,3.359493
0,0,3.373347
0,0,3.387288
0.75,0,3.401043
0,0,3.415067
0.75,0,3.428947
0,0,3.442812
0,0,3.456332
0,0,3.470772
0,0,3.484403
0,0,3.498373
0,0,3.512023
0,0,3.526607
0,0,3.539933
0,0,3.553851
0,0,3.567655
0,0,3.581562
0,0,3.595484
0,0,3.60947
0.75,0,3.623234
0,0,3.637174
0,0,3.651134
0,0,3.664956
0,0,3.678871
0,0,3.692692
0,0,3.706594
0,0,3.720251
0,0,3.734414
0,0,3.748351
0,0,3.762132
0,0,3.775781
0.75,0,3.790068
0,0,3.803856
0,0,3.817768
0,0,3.831487
0,0,3.845524
0,0,3.859115
0,0,3.873167
0,0,3.887073
0,0,3.900789
0.75,0,3.914717
0,0,3.928963
0.75,0,3.942487
0.75,0,3.956315
0,0,3.970974
0,0,3.98413
0,0,3.998088
0,0,4.012373
0,0,4.02608
0.75,0,4.039724
0,0,4.053576
0,0,4.067707
0,0,4.081805
0.75,0,4.095269
0,0,4.109614
0,0,4.123201
0,0,4.137206
0,0,4.150837
0,0,4.164745
0,0,4.178901
0,0,4.19267
0,0,4.206318
0,0,4.220341
0,0,4.234087
0,0,4.247988
0.75,0,4.262153
0.75,0,4.275913
0,0,4.289852
0,0,4.303605
0,0,4.317565
0,0,4.331539
0,0,4.345234
0,0,4.359184
0,0,4.37303
0,0,4.386911
0,0,4.400935
0,0,4.414678
0,0,4.429012
0,0,4.44248
0,0,4.456361
0.75,0,4.470297
0,0,4.484198
0,0,4.498001
0,0,4.511891
0,0,4.525768
0,0,4.539778
0,0,4.553784
0,0,4.56751
0,0,4.581382
0,0,4.59527
0,0,4.609126
0,0,4.622971
0,0,4.636903
0,0,4.650858
0,0,4.664713
0.75,0,4.678861
0.75,0,4.692483
0,0,4.706531
0.75,0,4.720372
0,0,4.734148
0,0,4.748016
0.75,0,4.7619
0,0,4.776099
0,0,4.789686
0,0,4.803633
0,0,4.817634
0,0,4.831402
0.75,0,4.845674
0,0,4.859232
0,0,4.879678
0,0,4.886805
0,0,4.899931
0,0,4.913799
0,0,4.927617
0,0,4.964429
