Left Grip, Right Grip, Time
-1,-1,0
5,-1,0.3533334
0.61,-1,0.4254594
0.61,-1,0.4357165
0.61,-1,0.4486956
0.61,-1,0.4622516
0.61,-1,0.4763028
0.61,-1,0.4899963
0.61,-1,0.503881
0.61,-1,0.5177317
0.61,-1,0.5319831
0.61,-1,0.5455921
33,-1,0.5593603
33,-1,0.5733131
33,-1,0.5871993
33,-1,0.6010693
33,-1,0.6150953
33,-1,0.6288698
33,-1,0.6428995
33,-1,0.6565723
33,-1,0.6706591
1,-1,0.6844361
1,-1,0.6983743
1,-1,0.7123989
1,-1,0.7260721
1,-1,0.7401147
1,-1,0.7539743
1,-1,0.7677521
1,-1,0.7816451
1,-1,0.7955371
1,-1,0.8094639
1,-1,0.8237066
1,-1,0.8380694
1,-1,0.8520657
1,-1,0.8659452
1,-1,0.8798571
1,-1,0.8939322
1,-1,0.9075257
1,-1,0.9214604
1,-1,0.9355028
1,-1,0.9493999
1,-1,0.9631149
1,-1,0.9770771
1,-1,0.9908633
1,-1,1.005003
1,-1,1.018689
1,-1,1.032882
1,-1,1.046559
1,-1,1.060252
1,-1,1.074333
1,-1,1.088091
1,-1,1.101944
1,-1,1.116063
1,-1,1.130008
1,-1,1.143778
1,-1,1.157629
1,-1,1.171426
1,-1,1.185604
1,-1,1.19919
1,-1,1.213041
1,-1,1.226974
1,-1,1.240903
1,-1,1.254857
47,-1,1.268682
47,-1,1.282613
47,-1,1.296656
47,-1,1.310271
47,-1,1.324162
47,-1,1.338065
47,-1,1.352148
47,-1,1.365839
47,-1,1.37993
47,-1,1.393714
47,-1,1.40756
47,-1,1.421622
47,-1,1.435247
47,-1,1.449188
47,-1,1.463038
47,-1,1.476978
47,-1,1.490809
47,-1,1.504801
47,-1,1.518763
47,-1,1.532722
47,-1,1.546525
47,-1,1.560497
47,-1,1.574274
47,-1,1.588014
47,-1,1.601875
47,-1,1.615873
47,-1,1.629763
47,-1,1.643788
47,-1,1.657709
75,-1,1.671698
75,-1,1.685595
75,-1,1.699756
75,-1,1.713113
75,-1,1.726946
75,-1,1.741103
75,-1,1.754921
75,-1,1.768698
75,-1,1.782484
1.61,1.61,1.796444
1.61,0.75,1.810338
2.47,1.61,1.824481
1.61,1.61,1.838064
1.61,1.61,1.852067
1.61,0.75,1.865971
0.75,1.61,1.87969
0.75,0.75,1.893625
1.61,0.75,1.907508
1.61,1.61,1.921659
1.61,0.75,1.935395
1.61,0.75,1.949236
1.61,0.75,1.963152
1.61,0.75,1.977015
1.61,0.75,1.990807
1.61,0.75,2.004908
1.61,0.75,2.018621
1.61,0.75,2.032502
1.61,0.75,2.046631
2.47,0.75,2.060342
0.75,0.75,2.074302
1.61,0.75,2.088107
0.75,0.75,2.102038
1.61,0.75,2.115854
1.61,0.75,2.129844
