Left Grip, Right Grip, Time
-1,-1,0
0.75,0,0.3533334
0.75,0,0.3715681
0.75,0,0.3758678
0.75,0,0.3791795
0.75,0,0.3836707
0.75,0,0.3865325
0.75,0,0.3893561
0.75,0,0.3935142
0.75,0,0.3965558
0.75,0,0.3996778
0.75,0,0.4026943
0.75,0,0.4052404
0.75,0,0.4091939
0.75,0,0.4121296
0.75,0,0.4155854
0.75,0,0.4186645
0.75,0,0.4225903
0.75,0,0.4254232
0.75,0,0.4281089
0.75,0,0.4317667
0.75,0,0.4343491
0.75,0.75,0.4369423
0.75,0.75,0.442468
0.75,0.75,0.4460956
0.75,0,0.4487319
0.75,0,0.4516237
0.75,0,0.4549216
0.75,0,0.457765
0.75,0,0.4605848
0.75,0,0.4640266
0.75,0,0.4668781
0.75,0,0.470835
0.75,0,0.4736288
0.75,0,0.4763424
0.75,0,0.4797058
0.75,0,0.4824311
0,0,0.4857666
0,0,0.4884827
0,0,0.4911447
0,0,0.4939947
0,0,0.4969358
0.75,0.75,0.4998538
0.75,0.75,0.5032334
0.75,0.75,0.5058655
0.75,0.75,0.5088748
0.75,0,0.5118268
0.75,0,0.5147144
0.75,0,0.517333
0.75,0,0.5198268
0,0.75,0.5227721
0,0.75,0.5253857
0,0.75,0.5282556
0,0.75,0.5315663
0.75,0,0.5345159
0.75,0,0.5374146
0.75,0,0.5400317
0.75,0,0.5432146
0.75,0,0.546311
0.75,0,0.5498635
0.75,0,0.5530617
0.75,0,0.5566868
0.75,0,0.5601721
0,0,0.5648081
0,0,0.5677902
0.75,0.75,0.5716028
0.75,0.75,0.575312
0.75,0.75,0.5792667
0.75,0.75,0.5829757
0.75,0.75,0.5862243
0,0,0.5900002
0,0,0.5938663
0,0,0.5973794
0,0,0.6003633
0,0,0.6034746
0,0,0.606279
0,0,0.6091697
0,0,0.6119584
0,0,0.6144037
0,0,0.6170334
0,0,0.6229448
0,0,0.6259115
0,0,0.6286401
0,0,0.6312395
0,0,0.6339673
0,0,0.6366829
0,0,0.6397828
0,0,0.6428559
0,0,0.646319
0,0,0.6489487
0,0,0.6514937
0.75,0,0.654698
0.75,0,0.6571872
0.75,0,0.6600702
0.75,0,0.6636581
0.75,0,0.6666132
0.75,0,0.6691728
0.75,0,0.6719742
0.75,0,0.6746721
0.75,0,0.6773018
0,0,0.6804928
0,0,0.6834978
0,0,0.6877691
0.75,0,0.6906778
0.75,0,0.6934717
0.75,0,0.6966807
0.75,0,0.6993023
0.75,0,0.7021548
0.75,0,0.7051507
0.75,0,0.707729
0.75,0,0.7106602
0.75,0,0.7135913
0.75,0,0.7168837
0.75,0,0.72009
0.75,0,0.7232534
0.75,0,0.7257779
0.75,0,0.7285472
0,0.75,0.7318507
0,0.75,0.7350209
0,0.75,0.7383325
0,0.75,0.7412087
0,0,0.7453877
0,0,0.7484671
0,0,0.7517231
0,0,0.7547463
0,0,0.7579281
0,0,0.761139
0,0,0.7649499
0,0,0.768159
0,0,0.7712157
0,0,0.774056
0,0,0.7767708
0,0,0.7805074
0,0,0.7835655
0,0,0.786422
0,0,0.7893773
0,0,0.7927597
0,0,0.7956613
0.75,0,0.7983927
0.75,0,0.80132
0.75,0,0.8041456
0.75,0,0.8071952
1.61,0,0.8107163
1.61,0,0.813536
1.61,0,0.8163604
1.61,0,0.8195599
0.75,0,0.8234807
0.75,0,0.8268489
0.75,0,0.8300151
0,0.75,0.8331159
0,0.75,0.836704
0,0.75,0.8402355
0,0.75,0.8438382
0,0.75,0.8478056
0,0.75,0.8512095
0,0.75,0.8545513
0,0,0.8581315
0,0,0.8612599
0,0,0.8650854
0,0,0.8678063
0.75,0,0.8732973
0.75,0,0.8765634
0.75,0,0.8793945
0.75,0,0.8825244
0.75,0,0.8853331
0,0,0.8896272
0,0,0.8926175
0,0,0.895429
0,0,0.8980935
0,0,0.9006329
0,0,0.9041445
0,0,0.9067371
0,0,0.9103612
0,0,0.913747
0,0,0.916428
0,0,0.9193602
0,0,0.9220876
0,0,0.9251717
0,0,0.9291722
0,0,0.9325631
0,0,0.9371513
0,0,0.9400495
0,0,0.943513
0,0,0.9466019
0,0,0.950927
0.75,0,0.9557455
0,0.75,0.9676191
0,0.75,0.9726657
0,0.75,0.9754602
0,0,0.9787241
0,0,0.9832284
0,0,0.9874132
1.61,0.75,0.9906784
1.61,0.75,0.9942595
1.61,0.75,0.9985133
0.75,0,1.001802
0.75,0,1.005406
0.75,0,1.009101
0.75,0,1.011972
0,0,1.015258
0,0,1.018055
0,0,1.02103
0,0,1.024211
0.75,0,1.027427
0.75,0,1.030328
0.75,0,1.033423
0.75,0,1.036558
0.75,0,1.039883
0,0,1.043284
0,0,1.046438
0,0,1.049022
0,0,1.051697
0.75,0,1.054578
0.75,0,1.057342
0.75,0,1.06073
0.75,0,1.063751
0.75,0,1.066671
0.75,0,1.069295
0.75,0,1.072088
0.75,0,1.076003
0.75,0,1.080593
0.75,0,1.084729
0.75,0,1.090313
0.75,0.75,1.09447
0.75,0.75,1.099343
0,0,1.104754
0,0,1.109848
0,0,1.113887
0,0,1.117971
0,0,1.123533
0,0,1.127776
0.75,0.75,1.13113
0.75,0.75,1.138625
0.75,0,1.143479
0.75,0,1.147778
0.75,0,1.15105
0,0,1.154478
0,0,1.15754
0,0,1.160511
0,0,1.163227
0,0,1.166324
0.75,0,1.169302
0.75,0,1.171919
0.75,0,1.174674
0.75,0,1.177512
0.75,0,1.180537
0.75,0,1.184293
0.75,0,1.18703
0.75,0,1.189839
0.75,0,1.192505
0.75,0,1.19549
0.75,0,1.198648
0.75,0,1.202168
0.75,0,1.204705
0,0,1.207169
0,0,1.210386
0,0,1.21343
0,0,1.216575
0.75,0,1.219888
0.75,0,1.223953
0.75,0,1.226806
0.75,0,1.230366
0,0,1.232975
0,0,1.235491
0,0,1.238663
