Left Grip, Right Grip, Time
-1,-1,0
1,-1,0.3533334
0,0,0.4116181
0,0,0.42421
0,0,0.4376969
0,0,0.4519767
0,0,0.4654292
0,0,0.4793625
0.75,0,0.4932196
0,0,0.5071381
0.75,0,0.5209422
0.75,0,0.535
0,0,0.5487425
0,0,0.5626333
0,0,0.5766528
0,0,0.5904438
0,0,0.6044782
0,0,0.6183034
0,0,0.6321329
0,0,0.6458386
0,0,0.6598932
0,0,0.6738647
0.75,0,0.6877387
0,0,0.7014961
0.75,0,0.7156551
0,0,0.7296221
0,0,0.7434151
0,0,0.7576908
0.75,0,0.7711177
0.75,0,0.7852386
0,0,0.798744
0,0,0.8126861
0.75,0,0.8267412
0,0,0.8405241
0,0,0.8545365
0,0,0.8683289
0,0,0.8820397
0,0,0.8961244
0.75,0,0.9099029
0,0,0.9239599
0.75,0,0.9377806
0,0,0.9515879
0.75,0,0.9654918
1.61,0,0.9794952
0,0,0.9933766
0.75,0,1.007482
0,0,1.021567
0.75,0,1.035692
0,0,1.071889
0,0,1.077487
0,0,1.090793
0,0,1.104359
0.75,0,1.118158
0,0,1.132222
0,0,1.146258
0.75,0,1.159847
0,0,1.17377
0,0,1.187678
0,0,1.201459
0,0,1.215463
0,0,1.229279
0,0,1.243449
0,0,1.257394
0,0,1.271257
0,0,1.284885
0,0,1.298917
0.75,0,1.312596
0,0,1.326416
0.75,0,1.340456
0,0,1.354389
0,0,1.368203
0,0,1.382096
0,0,1.395969
0,0,1.409809
0,0,1.424056
0,0,1.43859
0,0,1.452358
0,0,1.466628
0,0,1.480296
0.75,0,1.494216
0,0,1.507998
0,0,1.521912
0.75,0,1.535838
0.75,0,1.549738
0,0,1.56377
0,0,1.577508
0,0,1.59128
0,0,1.605133
0,0,1.619123
0,0,1.632911
0.75,0,1.646783
0,0,1.660816
0.75,0,1.674663
0,0,1.688583
0,0,1.702475
0,0,1.716357
0,0,1.730388
0,0,1.750305
0,0,1.764311
0.75,0,1.778036
0,0,1.791788
0,0,1.805799
0.75,0,1.819905
0,0,1.833574
0.75,0,1.847347
0,0,1.861446
0.75,0,1.875228
0,0,1.889255
0,0,1.903112
0,0,1.916752
0,0,1.930572
0,0,1.944676
0,0,1.958452
0,0,1.972307
0,0,1.98623
0,0,2.00008
0,0,2.014017
0.75,0,2.028191
0.75,0,2.042382
0,0,2.056186
0,0,2.070365
0,0,2.084418
0,0,2.098306
0.75,0,2.112079
0,0,2.126081
0.75,0,2.140458
0.75,0,2.154172
0,0,2.167794
0,0,2.181877
0,0,2.195542
0,0,2.209335
0,0,2.223268
0,0,2.237138
0,0,2.251059
0,0,2.264898
0.75,0,2.278913
0.75,0,2.292912
0,0,2.30679
0.75,0,2.320606
0,0,2.334421
0,0,2.348294
0,0,2.36208
0,0,2.375999
0,0,2.389847
0,0,2.403965
0,0,2.417727
0.75,0,2.431637
0,0,2.445624
0,0,2.459426
0,0,2.473198
0,0,2.487225
0,0,2.500935
0,0,2.514872
0.75,0,2.528803
0.75,0,2.542701
0,0,2.556629
0.75,0,2.570664
0.75,0,2.584324
0,0,2.59824
0.75,0,2.612128
0.75,0,2.626061
0,0,2.640055
0,0,2.653818
0,0,2.667698
0.75,0,2.681634
0.75,0,2.695439
0.75,0,2.709491
0.75,0,2.723463
0,0,2.737267
0,0,2.752254
0,0,2.76509
0,0,2.779113
0,0,2.79315
0,0,2.806632
0,0,2.820413
0,0,2.834377
0,0,2.848314
0.75,0,2.862075
0.75,0,2.876119
0,0,2.889845
0,0,2.903847
0,0,2.917849
0,0,2.931565
0,0,2.945471
0.75,0,2.959553
0,0,2.973244
0,0,2.987195
0.75,0,3.001228
0,0,3.015009
0,0,3.028894
0,0,3.042659
0,0,3.056682
0,0,3.070616
0,0,3.084501
0,0,3.098276
0,0,3.112217
0,0,3.125946
0,0,3.140086
0,0,3.153925
0,0,3.167655
0.75,0,3.181641
0,0,3.195559
0,0,3.209321
0,0,3.223225
0.75,0,3.23719
0,0,3.251097
0.75,0,3.264951
0,0,3.278849
0,0,3.292734
0,0,3.306558
0,0,3.320515
0.75,0,3.334365
0,0,3.348409
0,0,3.36213
0,0,3.376039
0,0,3.389906
0,0,3.403893
0,0,3.417708
0,0,3.431628
0,0,3.445442
0,0,3.459454
0,0,3.473408
0,0,3.487107
0.75,0,3.501063
0.75,0,3.515058
0,0,3.528816
0,0,3.542713
0,0,3.556694
0,0,3.570675
0,0,3.584314
0,0,3.598331
0,0,3.612136
0,0,3.626079
0,0,3.639868
0,0,3.653823
0,0,3.667746
0,0,3.68159
0,0,3.695538
0,0,3.709301
0,0,3.723287
0,0,3.737464
0.75,0,3.750194
0.75,0,3.76431
0,0,3.778349
0,0,3.79181
0,0,3.805751
0.75,0,3.819647
0,0,3.83367
0,0,3.847438
0,0,3.861556
0,0,3.875266
0.75,0,3.889298
0.75,0,3.903054
0,0,3.916837
0,0,3.930759
0.75,0,3.944531
0,0,3.958679
0,0,3.972291
0,0,3.986193
0,0,4.000279
0,0,4.014483
0,0,4.028606
0.75,0,4.042637
0,0,4.056529
0,0,4.070374
0,0,4.084564
0,0,4.09834
0,0,4.112135
0,0,4.126006
0,0,4.140067
0,0,4.153827
0,0,4.167803
0,0,4.181669
0,0,4.195471
0,0,4.20936
0.75,0,4.22326
0,0,4.237257
0,0,4.251026
0,0,4.264915
0,0,4.278997
0,0,4.292736
0,0,4.306659
0,0,4.320634
0,0,4.334467
0,0,4.348286
0,0,4.362102
0,0,4.37605
0.75,0,4.390028
0,0,4.403922
0,0,4.417756
0,0,4.431619
0,0,4.445668
0,0,4.459396
0,0,4.473283
0,0,4.487057
0,0,4.500898
0,0,4.514998
0,0,4.528924
0,0,4.542655
0,0,4.556582
0,0,4.570447
0,0,4.58438
0,0,4.598201
0,0,4.612265
0.75,0,4.626084
0,0,4.639946
0.75,0,4.653695
0,0,4.667623
0,0,4.681592
0,0,4.695454
0.75,0,4.709387
0.75,0,4.723239
0,0,4.737063
0,0,4.750998
0,0,4.76498
0,0,4.778802
0,0,4.793012
0,0,4.806483
0,0,4.820454
0,0,4.834363
0.75,0,4.848589
0,0,4.862141
0,0,4.876151
0,0,4.889821
0,0,4.903767
0.75,0,4.917638
0,0,4.931628
0,0,4.945591
0,0,4.959619
0,0,4.973265
0,0,4.987178
0.75,0,5.001027
0,0,5.015004
0,0,5.028702
0,0,5.042735
0,0,5.056597
0,0,5.070468
0,0,5.084732
0,0,5.098181
0.75,0,5.112063
0,0,5.12601
0,0,5.140089
0,0,5.153805
0,0,5.16769
0.75,0,5.181498
0,0,5.195375
0,0,5.209322
0.75,0,5.22327
0.75,0,5.237201
0.75,0,5.251194
0,0,5.264925
0,0,5.278691
0.75,0,5.292617
0,0,5.306475
0,0,5.320556
0.75,0,5.334358
0,0,5.348238
0,0,5.362161
0,0,5.37608
0,0,5.389953
0,0,5.403907
0,0,5.417697
0,0,5.431576
0,0,5.445458
0,0,5.459373
0,0,5.473199
0.75,0,5.487097
0,0,5.500979
0.75,0,5.514917
0,0,5.528809
0,0,5.542678
0.75,0,5.556498
0,0,5.570439
0,0,5.584304
0,0,5.598269
0,0,5.612047
0,0,5.626024
0,0,5.639812
0,0,5.653802
0,0,5.667707
0,0,5.681518
0,0,5.695534
0.75,0,5.709232
0,0,5.723402
0,0,5.737265
0.75,0,5.750466
0,0,5.764374
0,0,5.778078
0,0,5.79199
0,0,5.806216
0,0,5.819846
0,0,5.833668
0,0,5.847712
0.75,0,5.861402
0,0,5.875434
0,0,5.889351
0,0,5.903231
0,0,5.917039
0.75,0,5.930809
0.75,0,5.944707
0,0,5.958627
0,0,5.972704
0,0,5.986809
0,0,6.000847
0,0,6.015005
0,0,6.028745
0,0,6.042563
0,0,6.05678
0,0,6.070408
0,0,6.084435
0,0,6.098163
0.75,0,6.112032
0.75,0,6.126086
0,0,6.1401
0,0,6.153769
0,0,6.167844
0.75,0,6.181673
0.75,0,6.195375
0,0,6.209329
0.75,0,6.223187
0,0,6.237111
0.75,0,6.251
0,0,6.26493
0,0,6.278845
0,0,6.293056
0,0,6.306956
0,0,6.320759
0,0,6.334495
0.75,0,6.348285
0,0,6.36212
0.75,0,6.376126
0,0,6.389978
0,0,6.403852
0.75,0,6.417836
0,0,6.431661
0,0,6.44556
0,0,6.459836
0,0,6.47328
0.75,0,6.48706
0.75,0,6.501002
0.75,0,6.515098
0,0,6.528869
0.75,0,6.542727
0,0,6.556712
0,0,6.570576
0,0,6.58455
0,0,6.59823
0.75,0,6.61223
0,0,6.626012
0,0,6.640309
0.75,0,6.653948
0.75,0,6.667713
0,0,6.681607
0,0,6.695619
0,0,6.709448
0,0,6.723244
0,0,6.737198
0.75,0,6.751381
0.75,0,6.764919
0,0,6.778809
0,0,6.79272
0,0,6.806538
0,0,6.820767
0,0,6.834401
0,0,6.848245
0,0,6.86213
0,0,6.876095
0,0,6.889832
0,0,6.903812
0,0,6.917685
0,0,6.931756
0.75,0,6.94549
0,0,6.959421
0,0,6.973301
0,0,6.987281
0,0,7.001027
0,0,7.015044
0,0,7.028791
0,0,7.042623
0,0,7.056622
0,0,7.070555
0,0,7.084474
0,0,7.098378
0,0,7.112298
0,0,7.126263
0,0,7.1401
0.75,0,7.153875
0,0,7.167614
0,0,7.181549
0.75,0,7.195406
0,0,7.209269
0,0,7.223416
0.75,0,7.237086
0,0,7.251064
0,0,7.264976
0,0,7.2788
0,0,7.292815
0.75,0,7.307134
0,0,7.320604
0,0,7.334353
0,0,7.348481
0,0,7.362113
0,0,7.376164
0,0,7.390092
0,0,7.403752
0,0,7.417745
0,0,7.431514
0,0,7.445559
0,0,7.45958
0,0,7.473296
0.75,0,7.487129
0.75,0,7.501158
0,0,7.514942
0,0,7.529136
0,0,7.542796
0,0,7.556593
0,0,7.570438
0,0,7.584391
0,0,7.598279
0,0,7.612166
0,0,7.626149
0,0,7.639583
0.75,0,7.653284
0.75,0,7.667128
0,0,7.681134
0,0,7.695095
0,0,7.708684
0.75,0,7.722672
0,0,7.73669
0,0,7.750475
0,0,7.76439
0,0,7.778343
0,0,7.791983
0,0,7.805869
0,0,7.819652
0,0,7.834041
0,0,7.8476
0.75,0,7.861294
0.75,0,7.875275
0,0,7.889094
0,0,7.902969
0,0,7.917102
0,0,7.93083
0.75,0,7.944579
0,0,7.958492
0,0,7.972522
0,0,7.98637
0.75,0,8.000295
0.75,0,8.01417
0.75,0,8.028134
0,0,8.04219
0.75,0,8.05653
0,0,8.07064
0,0,8.084434
0,0,8.098399
0,0,8.112163
0,0,8.126133
0.75,0,8.140155
0,0,8.153929
0.75,0,8.167837
0,0,8.181858
0.75,0,8.195566
0,0,8.209387
0.75,0,8.22334
0,0,8.237356
0.75,0,8.25117
0.75,0,8.265083
0,0,8.278918
0,0,8.292912
0,0,8.306697
0,0,8.320605
0,0,8.334369
0,0,8.348365
0,0,8.36217
0.75,0,8.376044
0,0,8.389948
0,0,8.40382
0,0,8.417753
0,0,8.43187
0,0,8.445749
0.75,0,8.459522
0,0,8.473264
0.75,0,8.487164
0,0,8.50104
0,0,8.515061
0.75,0,8.528767
0.75,0,8.542836
0,0,8.556803
0,0,8.570554
0,0,8.584489
0,0,8.598442
0,0,8.612143
0,0,8.626261
0,0,8.6399
0,0,8.653855
0,0,8.667782
0,0,8.681728
0.75,0,8.695466
0,0,8.709408
0,0,8.723349
0,0,8.737224
0,0,8.751101
0,0,8.765006
0,0,8.778807
0,0,8.792719
0,0,8.806627
0.75,0,8.820503
0,0,8.834371
0,0,8.8485
0,0,8.862693
0,0,8.876162
0,0,8.890047
0,0,8.903879
0,0,8.917732
0,0,8.931578
0.75,0,8.945807
0.75,0,8.959469
0.75,0,8.973433
0.75,0,8.987444
0,0,9.001032
0,0,9.014984
0,0,9.028889
0,0,9.042699
0,0,9.056884
0,0,9.07056
0.75,0,9.08466
0.75,0,9.098342
0,0,9.112243
0,0,9.126227
0,0,9.1401
0,0,9.153812
0,0,9.167709
0,0,9.181644
0,0,9.195536
0,0,9.209407
0.75,0,9.22333
0.75,0,9.237231
0.75,0,9.251073
0,0,9.265046
0,0,9.278857
0.75,0,9.292874
0,0,9.306742
0,0,9.320402
0,0,9.334383
0,0,9.348354
0.75,0,9.362239
0,0,9.376108
0,0,9.389997
0,0,9.403836
0.75,0,9.417919
0,0,9.431687
0,0,9.445518
0,0,9.459435
0,0,9.473366
0,0,9.487231
0,0,9.501221
0,0,9.515092
0.75,0,9.528969
0,0,9.54269
0,0,9.556643
0,0,9.570414
0,0,9.584356
0,0,9.598327
0,0,9.612208
0,0,9.626157
0.75,0,9.639827
0,0,9.653495
0,0,9.667502
0,0,9.681555
0.75,0,9.69511
0,0,9.709
0,0,9.723006
0.75,0,9.736985
0.75,0,9.750297
0,0,9.764019
0,0,9.77803
0,0,9.791821
0,0,9.805729
0,0,9.819867
0.75,0,9.833549
0,0,9.84762
0,0,9.861362
0,0,9.875465
0,0,9.889164
0.75,0,9.903111
